,,,content,man_written
Ada Derana,3/18/2021 14:03,Received,(2/2)kamkaru departhamenthuwa danwai.Durakathana anka 0112368502 ho email: irlabur456'gmail.com,(2/2)කම්කරු දෙපාර්තමේන්තුව දන්වයි .දුරකථන අංකය 0112368502 හෝ email: irlabur456'gmail.com
Ada Derana,3/18/2021 14:01,Received,Covid-19 nisa rekiya ahimi wu paudgalika anshaye rekiyawala niyuktha vuwanta e gena denumdena lesa(1/2),Covid 19 නිසා රැකියා අහිමි වූ පුද්ගලික අංශයේ රැකියා වල නියුතු වූවන්ට ඒ ගැන දැනුම් දෙන ලෙස
Hiru News,3/18/2021 13:10,Received,"Dubai-hidi miya-giya sanvidanathmaka aparada kalli nayakayeku wana Dinuka Madushan hewath ""Keselwatte Dinuka""-ge dehaya diwainata ragena-ei.: Police",ඩුබායිහි දී මියගිය සංවිධානාත්මක අපරාධ කල්ලි නායකයකු වන දිනුක මධුෂාන් හෙවත්  කෙසෙල්වත්තේ දිනුක ගේ දේහය දිවයිනට රැගෙන එයි පොලිස්
News 1st,3/18/2021 12:29,Received,"Prawahana emathi samaga sakachchawen pasu dumriya engine riyaduran, niyamakain ethulu sewaka pirisage saketha weda warjanaya awasan kere-dumriya samanyadikari",ප්‍රවාහන ඇමති සමග  සාකච්ඡාවෙන් පසු දුම්රිය එන්ජින් රියදුරන් නියාමකයින් ඇතුළු සේවක පිරිසගේ සංකේත වැඩ වර්ජනය අවසන් කෙරේ දුම්රිය අමාත්‍යාංශය
Ada Derana,3/18/2021 12:18,Received,UPDATE: Locomotive Engine riyaduran ha niyamakawarun aramba kala wedawarjanaya awasan karai - Dumriya vurtheeya samithi,Update : Locomotive engine රියදුරන් හා නියාමකවරුන් ආරම්භ කළ වැඩ වර්ජනය අවසන් කරයි දුම්රිය වෘතීය සමිති
Hiru News,3/18/2021 12:18,Received,"Prawaahana amathyawaraya samaga pewathi sakachchawen anathuruwa, weda warjanaya athhituveemata dumriya wruththiya samithi theeranaya karai",ප්‍රවාහන අමාත්‍යාංශය සමඟ සමඟ පැවැති සාකච්ඡාවෙන් අනතුරුව වැඩ වැඩවර්ජනය අත්හිටුවීමට දුම්රිය වෘත්තිය සමිති තීරණය කරයි
Hiru News,3/18/2021 8:26,Received,"(2/2) sekakaruwan 02k athadanguwata, thawath ayeku palayai.: Police",(2/2)සැකකරුවන් 02ක් අත්අඩංගුවට තවත් අයෙකු පලායයි police
Hiru News,3/18/2021 8:25,Received,"Rs.koti 05k pamana watina Kerala-ganja parsal 200k Anuradhapura, Isurupura pradeshaye niwadu nikethanayaka thibe soya gene; (1/2)",Rs කෝටි 05ක් පමණ වටිනා කේරළ ගංජා පාර්සල් 200ක් අනුරාධපුර isurupura ප්රදේශයේ නිවාඩු නිකේතනයක තිබී සොයා ගැනේ
Ada Derana,3/18/2021 7:56,Received,"Abaditha sebalekta paharadun Bandaragama pradeshiya saba manthriwarayek, tharjanaya kala siddiyakata Biyagama pradeshiya saba manthriwarayek athadanguwata",ආබාධිත සෙබළාට පහරදුන් බණ්ඩාරගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් තර්ජනය කළ සිද්ධියට බියගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් අත්අඩංගුවට
Ada Derana,3/18/2021 6:49,Received,Locomotive Engine riyaduran ha dumriya niyamakawarunge peya 24 sanketha weda warjanaya nisa seemitha dumriya gaman waara gananak ada kriyathmaka wei,Locomotive engine රියදුරන් හා දුම්රිය නියාමකවරුන්ගේ පැය24 සංකේතවත් වැඩ වර්ජනය නිසා සීමිත දුම්රිය ගමන් වාර ගණනක් අද ක්‍රියාත්මක වෙයි
