singlish_content,transliterated_L1,man_written
(2/2)kamkaru departhamenthuwa danwai.durakathana anka 0112368502 ho email: irlabur456'gmail.com,( 2 / 2 ) කම්කරු දෙපර්තමෙන්තුව දන්වඉ . දුරකතන අන්ක 0112368502 හෝ‍ එමඉල් : ඉර්ලබුර්456 ' ග්මඉල් . කෝම්,(2/2)කම්කරු දෙපාර්තමේන්තුව දන්වයි .දුරකථන අංකය 0112368502 හෝ email: irlabur456'gmail.com
covid-19 nisa rekiya ahimi wu paudgalika anshaye rekiyawala niyuktha vuwanta e gena denumdena lesa(1/2),covid - 19 නිසා රෙකිය අහිමි වු පෞද්ගලික අන්ශයෙ රෙකියවල නියුක්ත වුවන්ට ඒ ගෙන දෙනුම්දෙන ලෙස ( 1 / 2 ),Covid 19 නිසා රැකියා අහිමි වූ පුද්ගලික අංශයේ රැකියා වල නියුතු වූවන්ට ඒ ගැන දැනුම් දෙන ලෙස
"dubai-hidi miya-giya sanvidanathmaka aparada kalli nayakayeku wana dinuka madushan hewath ""keselwatte dinuka""-ge dehaya diwainata ragena-ei.: police","දුබඉ - හිදි මිය - ගිය සන්විදනත්මක අපරද කල්ලි නයකයෙකු වන දිනුක මදුශන් හෙවත් "" කෙසෙල්වට්ටෙ දිනුක ""- ගෙ දෙහය දිවඉනට රගෙන - එඉ .: පෝලිකෙ",ඩුබායිහි දී මියගිය සංවිධානාත්මක අපරාධ කල්ලි නායකයකු වන දිනුක මධුෂාන් හෙවත්  කෙසෙල්වත්තේ දිනුක ගේ දේහය දිවයිනට රැගෙන එයි පොලිස්
"prawahana emathi samaga sakachchawen pasu dumriya engine riyaduran, niyamakain ethulu sewaka pirisage saketha weda warjanaya awasan kere-dumriya samanyadikari","ප්‍රවහන එමති සමග සකච්චවෙන් පසු දුම්‍රිය එන්ගිනෙ රියදුරන් , නියමකඉන් එතුලු සෙවක පිරිසගෙ සකෙත වෙද වර්ජනය අවසන් කෙරෙ - දුම්‍රිය සමන්යදිකරි",ප්‍රවාහන ඇමති සමග  සාකච්ඡාවෙන් පසු දුම්රිය එන්ජින් රියදුරන් නියාමකයින් ඇතුළු සේවක පිරිසගේ සංකේත වැඩ වර්ජනය අවසන් කෙරේ දුම්රිය අමාත්‍යාංශය
update: locomotive engine riyaduran ha niyamakawarun aramba kala wedawarjanaya awasan karai - dumriya vurtheeya samithi,update : ලෝකෝමෝටිවෙ එන්ගිනෙ රියදුරන් හා නියමකවරුන් අරම්බ කල වෙදවර්ජනය අවසන් කරඉ - දුම්‍රිය වුර්තීය සමිති,Update : Locomotive engine රියදුරන් හා නියාමකවරුන් ආරම්භ කළ වැඩ වර්ජනය අවසන් කරයි දුම්රිය වෘතීය සමිති
"prawaahana amathyawaraya samaga pewathi sakachchawen anathuruwa, weda warjanaya athhituveemata dumriya wruththiya samithi theeranaya karai","ප්‍රවාහන අමත්යවරය සමග පෙවති සකච්චවෙන් අනතුරුව , වෙද වර්ජනය අත්හිටුවීමට දුම්‍රිය වෘත්තිය සමිති තීරනය කරඉ",ප්‍රවාහන අමාත්‍යාංශය සමඟ සමඟ පැවැති සාකච්ඡාවෙන් අනතුරුව වැඩ වැඩවර්ජනය අත්හිටුවීමට දුම්රිය වෘත්තිය සමිති තීරණය කරයි
"(2/2) sekakaruwan 02k athadanguwata, thawath ayeku palayai.: police","( 2 / 2 ) සෙකකරුවන් 02ක් අතදන්ගුවට , තවත් අයෙකු පලයඉ .: පෝලිකෙ",(2/2)සැකකරුවන් 02ක් අත්අඩංගුවට තවත් අයෙකු පලායයි police
"rs.koti 05k pamana watina kerala-ganja parsal 200k anuradhapura, isurupura pradeshaye niwadu nikethanayaka thibe soya gene; (1/2)","ර්ස් . කෝටි 05ක් පමණ වටින කෙරල - ගන්ජ පර්සල් 200ක් අනුරද්හපුර , ඉසුරුපුර ප්‍රදෙශයෙ නිවදු නිකෙතනයක තිබෙ සෝය ගෙනෙ ; ( 1 / 2 )",Rs කෝටි 05ක් පමණ වටිනා කේරළ ගංජා පාර්සල් 200ක් අනුරාධපුර isurupura ප්රදේශයේ නිවාඩු නිකේතනයක තිබී සොයා ගැනේ
"abaditha sebalekta paharadun bandaragama pradeshiya saba manthriwarayek, tharjanaya kala siddiyakata biyagama pradeshiya saba manthriwarayek athadanguwata","අබදිත සෙබලෙක්ට පහරදුන් බන්දරගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් , තර්ජනය කල සිද්දියකට බියගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් අතදන්ගුවට",ආබාධිත සෙබළාට පහරදුන් බණ්ඩාරගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් තර්ජනය කළ සිද්ධියට බියගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් අත්අඩංගුවට
locomotive engine riyaduran ha dumriya niyamakawarunge peya 24 sanketha weda warjanaya nisa seemitha dumriya gaman waara gananak ada kriyathmaka wei,ලෝකෝමෝටිවෙ එන්ගිනෙ රියදුරන් හා දුම්‍රිය නියමකවරුන්ගෙ පෙය 24 සන්කෙත වෙද වර්ජනය නිසා සීමිත දුම්‍රිය ගමන් වාර ගනනක් අද ක්‍රියත්මක වෙඉ,Locomotive engine රියදුරන් හා දුම්රිය නියාමකවරුන්ගේ පැය24 සංකේතවත් වැඩ වර්ජනය නිසා සීමිත දුම්රිය ගමන් වාර ගණනක් අද ක්‍රියාත්මක වෙයි
